qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	1.34	1.34	30.8	30.8	100	69.2	0	2
4527	3	3	93.3	93.3	100	6.7	0	5
4691	2.01	2.01	100	100	100	0	0	3
4724	4.55	4.55	100	100	100	0	0	7
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	4
4793	1.45	1.88	67	87.2	76.8	9.8	23.2	3
4796	1.17	1.21	20.6	21.3	96.7	76.1	3.3	2
4802	1.54	1.59	55.2	57.1	96.7	41.5	3.3	3
4806	1.73	2.01	85.8	99.8	86	0.2	14	3
4848	1.7	1.71	69.4	70	99.2	29.8	0.8	2
4889	1.36	1.58	49.7	57.8	86	36.3	14	2
4890	1.81	1.81	53.6	53.6	100	46.4	0	4
4893	1.76	1.81	72.6	74.4	97.6	25	2.4	2
4932	1.02	1.02	1.6	1.6	100	98.4	0	2
4942	1.8	1.87	81.2	84.6	96	14.8	4	2
4951	2.82	2.82	100	100	100	0	0	3
4954	0.89	1.02	1.6	1.9	87.5	85.8	12.5	3
4989	5.76	6.09	94.7	100	94.7	0	5.3	7
4992	1.28	1.3	29.7	30.3	98	68.3	2	3
