qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	2.05	2.05	84.1	84.1	100	15.9	0	3
4527	2.27	2.27	100	100	100	0	0	5
4691	1.87	1.87	86.6	86.6	100	13.4	0	3
4724	3.22	3.22	100	100	100	0	0	5
4744	0.34	1	0	0	33.6	33.6	66.4	1
4757	1.17	1.17	17.4	17.4	100	82.6	0	4
4793	1.45	2	72.2	100	72.2	0	27.8	4
4796	1.4	1.45	40.3	41.7	96.7	56.4	3.3	5
4802	1.84	2.07	46.3	52.2	88.6	42.3	11.4	7
4806	1.88	2.19	67	77.9	86	19	14	7
4848	1.89	1.9	88.1	88.8	99.2	11.1	0.8	3
4889	1.64	1.9	49.9	58	86	36.1	14	3
4890	1.9	1.9	62.6	62.8	99.7	37	0.3	4
4893	1.7	1.74	67.5	69.1	97.6	30.1	2.4	2
4932	1.02	1.02	1.9	1.9	100	98.1	0	2
4942	2.22	2.31	81.2	84.6	96	14.8	4	4
4951	2	2	100	100	100	0	0	2
4954	0.89	1.01	0.8	0.9	88.7	87.9	11.3	3
4989	10.83	11.43	94.7	100	94.7	0	5.3	13
4992	2.25	2.3	46.7	47.7	98	51.2	2	8
