qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2584_cov_35.356203	0.95	1.04	3.3	3.6	92	88.7	8
4527	NODE_1_length_2744_cov_42.185602	1.01	1.01	0.8	0.8	100	99.2	0
4527	NODE_5_length_922_cov_14.736095	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_4_length_1040_cov_17.286604	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_7_length_477_cov_22.162500	0.26	1	0	0	26.4	26.4	73.6
4527	NODE_3_length_1212_cov_51.019383	0.62	1	0	0	62.1	62.1	37.9
4527	NODE_8_length_467_cov_17.253846	0.12	1	0	0	12.1	12.1	87.9
4527	NODE_6_length_518_cov_17.598639	0.12	1	0	0	12.3	12.3	87.7
4527	NODE_9_length_461_cov_14.294271	0.08	1	0	0	8.1	8.1	91.9
4527	NODE_10_length_450_cov_7.552279	0.12	1	0	0	12.2	12.2	87.8
4527	NODE_2_length_1656_cov_34.873338	0.65	1.01	0.8	1.3	64.6	63.8	35.4
4527	NODE_15_length_237_cov_67.637500	0.27	1	0	0	27.1	27.1	72.9
4527	NODE_14_length_358_cov_37.451957	0.07	1	0	0	7	7	93
4691	NODE_3_length_675_cov_4.580268	0.14	1	0	0	14	14	86
4691	NODE_4_length_477_cov_2.252500	0.12	1	0	0	11.9	11.9	88.1
4691	NODE_1_length_1096_cov_17.223749	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_2_length_971_cov_15.828859	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_1_length_1758_cov_30.979774	1	1	0	0	100	100	0
4724	NODE_2_length_1654_cov_36.371592	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_3_length_758_cov_4.102790	0.52	1.02	0.9	1.8	50.6	49.7	49.4
4744	NODE_2_length_664_cov_5.289608	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_1069_cov_28.840726	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_2_length_877_cov_9.860000	0.29	1	0	0	29	29	71
4757	NODE_3_length_834_cov_25.055482	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1445_cov_23.405702	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_4_length_994_cov_22.113413	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_3_length_1064_cov_19.146910	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_2_length_1235_cov_35.871330	0.59	1.01	0.3	0.5	58.8	58.5	41.2
4793	NODE_1_length_1399_cov_62.639939	0.53	1	0	0	53.3	53.3	46.7
4796	NODE_1_length_1590_cov_43.504296	0.64	1.03	1.8	2.9	62.5	60.7	37.5
4796	NODE_2_length_1524_cov_7.228749	0.26	1	0	0	25.6	25.6	74.4
4796	NODE_3_length_714_cov_4.259027	0.17	1	0	0	16.9	16.9	83.1
4802	NODE_2_length_2280_cov_26.787108	0.58	1.01	0.8	1.3	57.4	56.6	42.6
4802	NODE_1_length_2377_cov_22.999130	0.52	1.01	0.5	1	51.8	51.3	48.2
4802	NODE_3_length_1404_cov_22.622457	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4806	NODE_1_length_1906_cov_5.403499	0.9	1.01	0.5	0.6	89.4	88.9	10.6
4806	NODE_3_length_822_cov_3.330201	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_2_length_1468_cov_9.480949	0.25	1	0	0	25.1	25.1	74.9
4848	NODE_1_length_1908_cov_14.022392	1	1.01	0.6	0.6	99.2	98.6	0.8
4848	NODE_2_length_1219_cov_9.169002	0.79	1.01	0.6	0.8	78.7	78.1	21.3
4889	NODE_1_length_1795_cov_9.622235	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1535_cov_10.493827	0.22	1	0	0	22.2	22.2	77.8
4890	NODE_1_length_1149_cov_13.569030	0.6	1.03	1.7	3	58.3	56.5	41.7
4890	NODE_2_length_997_cov_9.939130	0.23	1	0	0	22.6	22.6	77.4
4893	NODE_5_length_278_cov_1.273632	0.18	1	0	0	17.9	17.9	82.1
4893	NODE_2_length_1465_cov_22.817003	0.75	1.04	2.7	3.7	72.6	70	27.4
4893	NODE_1_length_1874_cov_17.511408	0.61	1.02	1.2	2	59.5	58.3	40.5
4932	NODE_1_length_1687_cov_40.008696	0.87	1.01	0.8	0.9	85.8	85	14.2
4932	NODE_2_length_992_cov_11.314754	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_3_length_811_cov_2.667575	0.12	1	0	0	11.8	11.8	88.2
4942	NODE_1_length_2691_cov_13.733741	0.84	1.01	0.9	1	83.3	82.4	16.7
4942	NODE_2_length_1789_cov_20.706192	0.76	1.01	0.9	1.2	75.4	74.6	24.6
4951	NODE_1_length_1442_cov_18.708425	1	1	0	0	100	100	0
4951	NODE_4_length_466_cov_16.115681	0.26	1	0	0	26.1	26.1	73.9
4951	NODE_2_length_1297_cov_19.861475	0.82	1	0	0	82.1	82.1	17.9
4951	NODE_3_length_593_cov_21.523256	0.59	1	0	0	58.6	58.6	41.4
4954	NODE_1_length_1204_cov_46.207631	0.56	1	0.2	0.4	55.9	55.7	44.1
4954	NODE_2_length_1185_cov_27.987365	0.25	1.06	1.3	5.6	23.7	22.4	76.3
4954	NODE_4_length_474_cov_1.858942	0.09	1	0	0	8.8	8.8	91.2
4989	NODE_8_length_721_cov_29.559006	0.79	1	0.3	0.4	78.8	78.5	21.2
4989	NODE_1_length_1460_cov_30.571222	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_9_length_656_cov_4.319516	0.56	1	0	0	56.4	56.4	43.6
4989	NODE_6_length_860_cov_27.818646	0.75	1	0.3	0.4	74.8	74.5	25.2
4989	NODE_10_length_636_cov_30.924866	0.84	1	0	0	83.8	83.8	16.2
4989	NODE_3_length_1124_cov_35.305635	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_22_length_315_cov_21.063025	0.56	1	0	0	56.4	56.4	43.6
4989	NODE_18_length_410_cov_11.615616	0.56	1	0	0	56.4	56.4	43.6
4989	NODE_30_length_154_cov_9.000000	0.44	1	0	0	44.2	44.2	55.8
4989	NODE_39_length_118_cov_33.951220	0.37	1	0	0	37.1	37.1	62.9
4989	NODE_15_length_489_cov_10.211165	0.48	1	0	0	48	48	52
4989	NODE_4_length_915_cov_22.988067	0.8	1	0.3	0.4	79.4	79.1	20.6
4989	NODE_7_length_759_cov_87.548387	0.75	1	0.3	0.4	74.5	74.1	25.5
4989	NODE_14_length_497_cov_2.264286	0.24	1	0	0	24	24	76
4989	NODE_16_length_485_cov_2.056373	0.25	1	0	0	24.9	24.9	75.1
4989	NODE_2_length_1160_cov_21.819021	0.39	1	0	0	38.6	38.6	61.4
4989	NODE_21_length_342_cov_19.516981	0.31	1	0	0	30.8	30.8	69.2
4989	NODE_12_length_575_cov_7.825301	0.24	1	0	0	24.3	24.3	75.7
4989	NODE_19_length_384_cov_8.771987	0.21	1	0	0	20.6	20.6	79.4
4989	NODE_11_length_591_cov_18.196498	0.24	1	0	0	24	24	76
4989	NODE_27_length_246_cov_101.917160	0.31	1	0	0	31.2	31.2	68.8
4989	NODE_20_length_351_cov_25.558394	0.31	1	0	0	30.5	30.5	69.5
4989	NODE_23_length_273_cov_73.770408	0.27	1	0	0	27.4	27.4	72.6
4989	NODE_5_length_862_cov_8.104459	0.22	1	0	0	21.8	21.8	78.2
4992	NODE_1_length_4360_cov_22.890964	0.98	1	0.5	0.5	97.9	97.4	2.1
4992	NODE_2_length_1154_cov_9.723305	0.08	1	0	0	7.6	7.6	92.4
