qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2887_cov_44.648913	0.95	1.04	3.3	3.6	92	88.7	8
4527	NODE_2_length_2839_cov_43.217920	1.01	1.01	0.6	0.6	100	99.4	0
4527	NODE_1_length_2909_cov_47.201294	0.94	1.01	0.6	0.6	93.3	92.7	6.7
4527	NODE_3_length_634_cov_39.191321	0.25	1.01	0.2	1	24.3	24	75.7
4691	NODE_4_length_1045_cov_6.806100	0.14	1	0	0	14	14	86
4691	NODE_1_length_1278_cov_26.574283	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_2_length_1184_cov_39.010407	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_1_length_2010_cov_24.691981	0.89	1.01	0.9	1	88	87.1	12
4724	NODE_2_length_1881_cov_30.675599	1.01	1.01	0.9	0.9	100	99.1	0
4744	NODE_2_length_839_cov_6.910112	0.53	1	0	0	53.1	53.1	46.9
4744	NODE_1_length_1101_cov_30.444559	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_2_length_940_cov_17.493235	0.29	1	0	0	29	29	71
4757	NODE_3_length_909_cov_29.156010	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1321_cov_28.451424	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_4_length_1129_cov_37.598802	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_3_length_1228_cov_29.178020	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1661_cov_88.248370	0.65	1	0	0	64.8	64.8	35.2
4793	NODE_2_length_1590_cov_54.639781	0.64	1	0.3	0.5	64	63.7	36
4796	NODE_2_length_1582_cov_61.103093	0.75	1.02	1.8	2.5	73.2	71.4	26.8
4796	NODE_1_length_1710_cov_12.910929	0.26	1	0	0	25.6	25.6	74.4
4802	NODE_2_length_2466_cov_35.934587	0.58	1.01	0.8	1.3	57.7	56.9	42.3
4802	NODE_1_length_3587_cov_33.006936	0.71	1.01	0.6	0.9	70.8	70.2	29.2
4802	NODE_3_length_1537_cov_34.691489	0.23	1	0	0	23.1	23.1	76.9
4806	NODE_1_length_2684_cov_13.630035	0.67	1	0	0	67	67	33
4806	NODE_3_length_868_cov_2.708502	0.35	1	0	0	35.2	35.2	64.8
4806	NODE_2_length_933_cov_10.163772	0.14	1	0	0	14.2	14.2	85.8
4848	NODE_2_length_2395_cov_26.952822	1	1.01	0.6	0.6	99.2	98.6	0.8
4848	NODE_1_length_2416_cov_21.934469	1	1.01	0.6	0.6	99.2	98.6	0.8
4889	NODE_2_length_1801_cov_12.991039	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_1_length_2311_cov_10.375458	0.76	1	0	0	76.2	76.2	23.8
4890	NODE_1_length_2156_cov_14.953672	0.97	1.03	2.8	3	94.3	91.5	5.7
4890	NODE_2_length_1495_cov_18.103801	0.43	1.08	3.1	7.8	40	36.9	60
4893	NODE_1_length_2751_cov_20.049924	1	1.03	2.8	2.9	97.6	94.8	2.4
4893	NODE_2_length_1609_cov_29.316464	0.75	1.03	2.3	3.1	72.6	70.4	27.4
4932	NODE_1_length_1922_cov_70.703621	0.86	1.01	0.5	0.6	85.8	85.3	14.2
4932	NODE_2_length_1276_cov_15.244560	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_2_length_2700_cov_20.823552	0.97	1.02	1.9	2	94.9	93	5.1
4942	NODE_1_length_2826_cov_20.706558	0.55	1	0	0	55.2	55.2	44.8
4951	NODE_1_length_1521_cov_25.142755	1	1	0	0	100	100	0
4951	NODE_2_length_1437_cov_25.945038	0.99	1	0	0	99.5	99.5	0.5
4954	NODE_1_length_1436_cov_54.264324	0.56	1	0.2	0.4	55.5	55.3	44.5
4954	NODE_2_length_1236_cov_29.561767	0.25	1.06	1.3	5.6	23.7	22.4	76.3
4954	NODE_3_length_813_cov_1.919825	0.08	1	0	0	8.3	8.3	91.7
4989	NODE_1_length_1695_cov_38.360332	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_6_length_874_cov_14.941098	0.9	1	0.3	0.3	89.7	89.4	10.3
4989	NODE_5_length_1335_cov_18.204470	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_2_length_1419_cov_45.085139	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_3_length_1369_cov_33.339775	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_4_length_1353_cov_41.073409	0.64	1	0	0	64.5	64.5	35.5
4989	NODE_7_length_694_cov_21.497354	0.39	1	0	0	38.6	38.6	61.4
4992	NODE_1_length_4712_cov_34.225300	0.98	1.01	0.5	0.5	98	97.4	2
4992	NODE_2_length_1522_cov_15.514695	0.56	1	0.2	0.4	55.6	55.4	44.4
4992	NODE_3_length_740_cov_1.877651	0.15	1	0	0	14.5	14.5	85.5
4992	NODE_4_length_736_cov_7.865353	0.08	1	0	0	8.5	8.5	91.5
