qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2787_cov_41.473684	1.04	1.04	3.6	3.6	100	96.4	0
4527	NODE_3_length_1067_cov_16.462766	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_4_length_1014_cov_8.091319	0.32	1	0	0	31.7	31.7	68.3
4527	NODE_1_length_1734_cov_69.751711	0.69	1	0.2	0.3	68.9	68.6	31.1
4527	NODE_2_length_1288_cov_69.422050	0.62	1	0	0	62.1	62.1	37.9
4691	NODE_3_length_507_cov_2.034211	0.14	1	0	0	14	14	86
4691	NODE_1_length_1154_cov_31.087634	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_2_length_1023_cov_30.330357	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_1_length_1820_cov_28.020673	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_2_length_1790_cov_35.859290	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_4_length_582_cov_25.778022	0.27	1	0	0	26.8	26.8	73.2
4724	NODE_8_length_189_cov_56.661290	0.19	1	0	0	19.2	19.2	80.8
4724	NODE_5_length_308_cov_16.635359	0.22	1	0	0	22.3	22.3	77.7
4724	NODE_6_length_270_cov_26.517483	0.21	1	0	0	20.9	20.9	79.1
4724	NODE_7_length_218_cov_37.868132	0.08	1	0	0	8	8	92
4724	NODE_3_length_725_cov_3.672241	0.15	1	0	0	14.8	14.8	85.2
4744	NODE_2_length_613_cov_3.043210	0.52	1	0	0	51.8	51.8	48.2
4744	NODE_1_length_987_cov_32.347674	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_3_length_720_cov_10.760540	0.29	1	0	0	29	29	71
4757	NODE_2_length_833_cov_21.229462	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1277_cov_25.103478	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_1_length_2863_cov_41.464912	0.83	1.02	1.3	1.6	81.6	80.3	18.4
4793	NODE_3_length_991_cov_29.781250	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_2_length_1523_cov_58.116762	0.59	1	0	0	58.8	58.8	41.2
4793	NODE_6_length_442_cov_1.628571	0.12	1	0	0	11.6	11.6	88.4
4793	NODE_4_length_787_cov_5.651515	0.09	1	0	0	9.1	9.1	90.9
4796	NODE_1_length_1464_cov_67.547494	0.64	1.03	1.8	2.9	62.5	60.7	37.5
4796	NODE_2_length_1453_cov_10.470588	0.25	1	0	0	25.1	25.1	74.9
4796	NODE_3_length_641_cov_3.634241	0.14	1	0	0	14.2	14.2	85.8
4802	NODE_1_length_2307_cov_35.803670	0.68	1.03	1.8	2.7	65.9	64.2	34.1
4802	NODE_2_length_2090_cov_37.796230	0.48	1	0	0	48.2	48.2	51.8
4802	NODE_3_length_1319_cov_38.828859	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4802	NODE_4_length_1094_cov_32.815926	0.23	1.02	0.4	1.7	22.2	21.8	77.8
