qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2910_cov_34.245059	0.95	1.04	3.3	3.6	92	88.7	8
4527	NODE_1_length_2972_cov_31.503691	1.01	1.01	0.8	0.8	100	99.2	0
4527	NODE_2_length_2466_cov_24.007696	0.94	1.01	0.6	0.6	93.3	92.7	6.7
4527	NODE_4_length_601_cov_31.179325	0.14	1	0	0	13.9	13.9	86.1
4527	NODE_6_length_508_cov_1.309711	0.55	1	0	0	54.6	54.6	45.4
4527	NODE_3_length_1189_cov_54.321092	0.57	1	0.2	0.4	56.4	56.2	43.6
4691	NODE_4_length_523_cov_4.275253	0.14	1	0	0	14	14	86
4691	NODE_3_length_962_cov_5.063473	0.14	1	0	0	14	14	86
4691	NODE_2_length_1222_cov_10.057534	0.87	1	0.2	0.2	86.6	86.4	13.4
4691	NODE_1_length_1263_cov_9.908451	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_2_length_1644_cov_29.892551	1	1	0	0	100	100	0
4724	NODE_1_length_1783_cov_26.239734	1.01	1.01	0.9	0.9	100	99.1	0
4724	NODE_3_length_929_cov_4.011222	0.52	1.02	0.9	1.8	51.1	50.2	48.9
4744	NODE_2_length_667_cov_3.138889	0.53	1	0	0	53.1	53.1	46.9
4744	NODE_1_length_1248_cov_24.501338	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_1_length_1744_cov_14.904762	0.61	1	0	0	60.8	60.8	39.2
4757	NODE_2_length_1290_cov_24.049871	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_4_length_1113_cov_28.587221	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_3_length_1234_cov_17.825655	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_2_length_1491_cov_52.813783	0.6	1.02	0.9	1.5	58.8	57.9	41.2
4793	NODE_1_length_1538_cov_28.416726	0.64	1	0.3	0.5	64	63.7	36
4796	NODE_2_length_1551_cov_51.217697	0.64	1.03	1.8	2.9	62.5	60.7	37.5
4796	NODE_4_length_570_cov_3.550790	0.11	1	0	0	10.7	10.7	89.3
4796	NODE_1_length_1594_cov_9.226994	0.26	1	0	0	25.6	25.6	74.4
4796	NODE_3_length_907_cov_3.241026	0.17	1	0	0	16.9	16.9	83.1
4802	NODE_2_length_2282_cov_35.702088	0.58	1.01	0.8	1.3	57.7	56.9	42.3
4802	NODE_1_length_3149_cov_23.497684	0.52	1	0.3	0.5	51.9	51.7	48.1
4802	NODE_3_length_1701_cov_28.311309	0.23	1	0	0	23.1	23.1	76.9
4806	NODE_2_length_2042_cov_6.706005	0.9	1.01	0.5	0.6	89.4	88.9	10.6
4806	NODE_1_length_2587_cov_5.448374	0.67	1	0	0	67	67	33
4848	NODE_1_length_2502_cov_12.060632	1	1.01	0.6	0.6	99.2	98.6	0.8
4848	NODE_2_length_1029_cov_13.768293	0.2	1	0	0	20.1	20.1	79.9
4889	NODE_1_length_2047_cov_11.897396	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1556_cov_9.682295	0.22	1	0	0	22.2	22.2	77.8
4890	NODE_1_length_1472_cov_9.317472	0.73	1.04	2.8	4	70.3	67.5	29.7
4890	NODE_3_length_1050_cov_8.932828	0.23	1	0	0	22.6	22.6	77.4
4890	NODE_2_length_1340_cov_13.645507	0.23	1	0	0	22.6	22.6	77.4
4893	NODE_1_length_2065_cov_14.569659	0.83	1.03	2.7	3.3	80.6	78	19.4
4893	NODE_2_length_1620_cov_20.771601	0.61	1.03	2	3.3	59.5	57.5	40.5
4893	NODE_4_length_511_cov_22.026042	0.18	1	0	0	17.5	17.5	82.5
4932	NODE_1_length_1897_cov_38.057062	0.87	1.01	0.8	0.9	85.8	85	14.2
4932	NODE_2_length_981_cov_10.632319	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_1_length_2804_cov_18.276429	0.89	1.01	0.7	0.8	88.3	87.6	11.7
4942	NODE_3_length_504_cov_1.389920	0.1	1	0	0	10.3	10.3	89.7
4942	NODE_2_length_1960_cov_18.877250	0.59	1.01	0.7	1.2	57.8	57.1	42.2
4951	NODE_1_length_1650_cov_14.952068	1.01	1.01	0.5	0.5	100	99.5	0
4951	NODE_2_length_1533_cov_13.465861	1	1	0	0	100	100	0
4954	NODE_1_length_1548_cov_40.076707	0.56	1	0.2	0.4	55.9	55.7	44.1
4954	NODE_2_length_1220_cov_26.207685	0.25	1.06	1.3	5.6	23.7	22.4	76.3
4954	NODE_4_length_460_cov_1.141141	0.08	1	0	0	8.3	8.3	91.7
4989	NODE_3_length_1407_cov_30.131250	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_16_length_822_cov_41.456115	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_4_length_1399_cov_61.299528	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_15_length_832_cov_15.293617	0.95	1	0.3	0.3	94.7	94.4	5.3
