qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2731_cov_49.009985	100	124	0	0	662	54	177	2731	2101	1978	3.34e-62	230	124	4471_NODE_1_length_2731_cov_49.009985
4471	NODE_1_length_2731_cov_49.009985	97.273	110	2	1	662	554	662	2731	535	426	7.34e-49	185	110	4471_NODE_1_length_2731_cov_49.009985
4471	NODE_1_length_2731_cov_49.009985	98.148	108	2	0	662	269	376	2731	1540	1433	5.67e-50	189	108	4471_NODE_1_length_2731_cov_49.009985
4471	NODE_1_length_2731_cov_49.009985	100	101	0	0	662	457	557	2731	875	775	2.04e-49	187	101	4471_NODE_1_length_2731_cov_49.009985
4471	NODE_1_length_2731_cov_49.009985	98.98	98	1	0	662	174	271	2731	1734	1637	4.42e-46	176	98	4471_NODE_1_length_2731_cov_49.009985
4471	NODE_1_length_2731_cov_49.009985	96.703	91	3	0	662	369	459	2731	1316	1226	7.44e-39	152	91	4471_NODE_1_length_2731_cov_49.009985
4527	NODE_1_length_2855_cov_28.597507	96.075	535	21	0	861	269	803	2855	1302	768	0	872	535	4527_NODE_1_length_2855_cov_28.597507
4527	NODE_1_length_2855_cov_28.597507	97.81	274	6	0	861	1	274	2855	2446	2173	1.83e-135	473	274	4527_NODE_1_length_2855_cov_28.597507
4527	NODE_1_length_2855_cov_28.597507	100	60	0	0	861	802	861	2855	541	482	1.65e-26	111	60	4527_NODE_1_length_2855_cov_28.597507
4527	NODE_2_length_1302_cov_24.302979	94.766	535	28	0	861	269	803	1302	320	854	0	833	535	4527_NODE_2_length_1302_cov_24.302979
4527	NODE_5_length_710_cov_46.650086	94.872	312	16	0	861	492	803	710	710	399	6.54e-140	488	312	4527_NODE_5_length_710_cov_46.650086
4527	NODE_4_length_881_cov_18.050398	94.056	286	17	0	861	468	753	881	1	286	8.64e-124	435	286	4527_NODE_4_length_881_cov_18.050398
4527	NODE_4_length_881_cov_18.050398	96.61	59	2	0	861	745	803	881	755	813	1.29e-22	99	59	4527_NODE_4_length_881_cov_18.050398
4527	NODE_3_length_1081_cov_7.472746	94.505	273	15	0	861	1	273	1081	457	729	6.73e-120	422	273	4527_NODE_3_length_1081_cov_7.472746
4527	NODE_7_length_645_cov_6.283784	98.333	60	1	0	861	802	861	645	491	432	7.69e-25	106	60	4527_NODE_7_length_645_cov_6.283784
4691	NODE_2_length_1014_cov_16.348365	97.992	249	5	0	537	74	322	1014	692	444	1.92e-123	433	249	4691_NODE_2_length_1014_cov_16.348365
4691	NODE_2_length_1014_cov_16.348365	97.674	215	5	0	537	323	537	1014	350	136	1.53e-104	370	215	4691_NODE_2_length_1014_cov_16.348365
4691	NODE_1_length_1236_cov_10.568981	96.4	250	9	0	537	73	322	1236	943	694	2.5e-117	412	250	4691_NODE_1_length_1236_cov_10.568981
4691	NODE_1_length_1236_cov_10.568981	93.519	216	14	0	537	322	537	1236	387	172	4.33e-90	322	216	4691_NODE_1_length_1236_cov_10.568981
4691	NODE_4_length_835_cov_5.046610	96	75	3	0	537	1	75	835	374	448	4.72e-30	122	75	4691_NODE_4_length_835_cov_5.046610
4691	NODE_3_length_981_cov_3.720141	96	75	3	0	537	1	75	981	554	480	4.72e-30	122	75	4691_NODE_3_length_981_cov_3.720141
4724	NODE_2_length_1671_cov_36.648316	97.951	244	5	0	660	1	244	1671	430	673	1.42e-120	424	244	4724_NODE_2_length_1671_cov_36.648316
