qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2642_cov_36.792843	97.71	131	1	2	662	54	183	2642	2045	1916	1.8e-60	224	131	4471_NODE_1_length_2642_cov_36.792843
4471	NODE_1_length_2642_cov_36.792843	96.364	110	3	1	662	554	662	2642	482	373	3.95e-47	180	110	4471_NODE_1_length_2642_cov_36.792843
4471	NODE_1_length_2642_cov_36.792843	99.074	108	1	0	662	269	376	2642	1484	1377	1.41e-51	195	108	4471_NODE_1_length_2642_cov_36.792843
4471	NODE_1_length_2642_cov_36.792843	100	101	0	0	662	457	557	2642	820	720	2.36e-49	187	101	4471_NODE_1_length_2642_cov_36.792843
4471	NODE_1_length_2642_cov_36.792843	98.98	98	1	0	662	174	271	2642	1678	1581	5.11e-46	176	98	4471_NODE_1_length_2642_cov_36.792843
4471	NODE_1_length_2642_cov_36.792843	96.703	91	3	0	662	369	459	2642	1260	1170	8.61e-39	152	91	4471_NODE_1_length_2642_cov_36.792843
4527	NODE_1_length_1791_cov_36.275240	96.075	535	21	0	861	269	803	1791	1331	797	0	872	535	4527_NODE_1_length_1791_cov_36.275240
4527	NODE_1_length_1791_cov_36.275240	98.333	60	1	0	861	802	861	1791	619	560	8.9e-25	106	60	4527_NODE_1_length_1791_cov_36.275240
4527	NODE_2_length_1523_cov_47.674785	94.953	535	27	0	861	269	803	1523	377	911	0	839	535	4527_NODE_2_length_1523_cov_47.674785
4527	NODE_6_length_853_cov_32.581267	96.798	406	13	0	861	269	674	853	448	853	0	678	406	4527_NODE_6_length_853_cov_32.581267
4527	NODE_5_length_1007_cov_5.979545	97.802	273	6	0	861	1	273	1007	564	292	7.61e-135	472	273	4527_NODE_5_length_1007_cov_5.979545
4527	NODE_4_length_1068_cov_6.902232	97.407	270	7	0	861	4	273	1068	643	374	1.65e-131	460	270	4527_NODE_4_length_1068_cov_6.902232
4527	NODE_3_length_1114_cov_11.339412	95.238	273	13	0	861	1	273	1114	617	345	3.59e-123	433	273	4527_NODE_3_length_1114_cov_11.339412
4691	NODE_2_length_1051_cov_14.906926	97.59	249	6	0	537	74	322	1051	769	521	1.03e-121	427	249	4691_NODE_2_length_1051_cov_14.906926
4691	NODE_2_length_1051_cov_14.906926	97.209	215	6	0	537	323	537	1051	427	213	8.18e-103	364	215	4691_NODE_2_length_1051_cov_14.906926
4691	NODE_1_length_1079_cov_20.700630	96.8	250	8	0	537	73	322	1079	831	582	6.19e-119	418	250	4691_NODE_1_length_1079_cov_20.700630
4691	NODE_1_length_1079_cov_20.700630	93.519	216	14	0	537	322	537	1079	501	286	5e-90	322	216	4691_NODE_1_length_1079_cov_20.700630
4691	NODE_4_length_631_cov_2.593254	96	75	3	0	537	1	75	631	368	294	5.44e-30	122	75	4691_NODE_4_length_631_cov_2.593254
4691	NODE_3_length_875_cov_6.048128	96	75	3	0	537	1	75	875	468	542	5.44e-30	122	75	4691_NODE_3_length_875_cov_6.048128
4724	NODE_2_length_1819_cov_29.952128	98.77	244	3	0	660	1	244	1819	1381	1138	7.61e-124	435	244	4724_NODE_2_length_1819_cov_29.952128
4724	NODE_2_length_1819_cov_29.952128	98.421	190	3	0	660	471	660	1819	459	270	7.94e-94	335	190	4724_NODE_2_length_1819_cov_29.952128
4724	NODE_2_length_1819_cov_29.952128	98.63	146	2	0	660	325	470	1819	871	726	4.91e-71	259	146	4724_NODE_2_length_1819_cov_29.952128
4724	NODE_2_length_1819_cov_29.952128	98.734	79	1	0	660	245	323	1819	1063	985	1.86e-35	141	79	4724_NODE_2_length_1819_cov_29.952128
4724	NODE_1_length_1933_cov_28.687154	96.311	244	9	0	660	1	244	1933	413	656	7.72e-114	401	244	4724_NODE_1_length_1933_cov_28.687154
4724	NODE_1_length_1933_cov_28.687154	94.737	190	10	0	660	471	660	1933	1342	1531	3.75e-82	296	190	4724_NODE_1_length_1933_cov_28.687154
4724	NODE_1_length_1933_cov_28.687154	94.194	155	7	2	660	324	476	1933	928	1082	8.28e-64	235	155	4724_NODE_1_length_1933_cov_28.687154
4724	NODE_1_length_1933_cov_28.687154	96.203	79	3	0	660	245	323	1933	741	819	4.02e-32	130	79	4724_NODE_1_length_1933_cov_28.687154
4724	NODE_3_length_740_cov_2.732463	93.684	190	12	0	660	471	660	740	415	226	8.11e-79	285	190	4724_NODE_3_length_740_cov_2.732463
4724	NODE_3_length_740_cov_2.732463	92.188	64	3	2	660	415	476	740	740	677	6.82e-20	89.8	64	4724_NODE_3_length_740_cov_2.732463
4744	NODE_2_length_820_cov_4.053391	95.833	120	5	0	226	1	120	820	471	352	4.61e-52	195	120	4744_NODE_2_length_820_cov_4.053391
4744	NODE_1_length_1177_cov_30.531429	98.684	76	1	0	226	118	193	1177	479	554	2.83e-34	135	76	4744_NODE_1_length_1177_cov_30.531429
4757	NODE_2_length_887_cov_19.077632	98.286	175	3	0	551	161	335	887	653	479	1.44e-85	307	175	4757_NODE_2_length_887_cov_19.077632
4757	NODE_3_length_871_cov_8.346774	98.125	160	3	0	551	1	160	871	585	426	3.13e-77	279	160	4757_NODE_3_length_871_cov_8.346774
4757	NODE_1_length_1413_cov_30.447123	96.429	112	4	0	551	440	551	1413	547	436	7.02e-49	185	112	4757_NODE_1_length_1413_cov_30.447123
4757	NODE_1_length_1413_cov_30.447123	98.077	104	2	0	551	336	439	1413	820	717	9.09e-48	182	104	4757_NODE_1_length_1413_cov_30.447123
4793	NODE_2_length_1387_cov_47.157143	98.152	541	10	0	1011	183	723	1387	410	950	0	944	541	4793_NODE_2_length_1387_cov_47.157143
4793	NODE_1_length_1524_cov_46.647101	95.194	541	26	0	1011	183	723	1524	449	989	0	856	541	4793_NODE_1_length_1524_cov_46.647101
4793	NODE_1_length_1524_cov_46.647101	98.246	57	0	1	1011	721	776	1524	1195	1251	1.75e-22	99	57	4793_NODE_1_length_1524_cov_46.647101
4793	NODE_1_length_1524_cov_46.647101	96.226	53	2	0	1011	130	182	1524	27	79	3.8e-19	87.9	53	4793_NODE_1_length_1524_cov_46.647101
4793	NODE_3_length_1149_cov_28.887476	98.529	136	2	0	1011	1	136	1149	570	435	2.75e-65	241	136	4793_NODE_3_length_1149_cov_28.887476
4793	NODE_4_length_1131_cov_28.169323	97.794	136	3	0	1011	1	136	1131	507	642	1.28e-63	235	136	4793_NODE_4_length_1131_cov_28.169323
4793	NODE_6_length_558_cov_37.515081	98.276	116	2	0	1011	608	723	558	1	116	3.61e-54	204	116	4793_NODE_6_length_558_cov_37.515081
4793	NODE_7_length_206_cov_1.430380	100	50	0	0	1011	724	773	206	144	193	8.16e-21	93.5	50	4793_NODE_7_length_206_cov_1.430380
4796	NODE_2_length_1529_cov_60.343081	99.387	163	1	0	720	312	474	1529	873	1035	4.1e-82	296	163	4796_NODE_2_length_1529_cov_60.343081
