qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.95	1.04	3.3	3.6	92	88.7	8	1
4527	2.78	2.78	100	100	100	0	0	6
4691	2.01	2.01	100	100	100	0	0	4
4724	2.73	2.73	100	100	100	0	0	3
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.45	2	72.2	100	72.2	0	27.8	4
4796	1.18	1.22	20.8	21.6	96.7	75.8	3.3	2
4802	1.31	1.5	42.2	48.2	87.6	45.4	12.4	3
4806	1.54	1.78	67	77.9	86	19	14	3
4848	1.64	1.67	64.4	65.5	98.4	34	1.6	2
4889	1.09	1.27	22.4	26	86	63.7	14	2
4890	1.15	1.73	24.5	36.8	66.6	42.1	33.4	3
4893	2.22	2.28	59.5	61	97.6	38.1	2.4	5
4932	1.02	1.02	2	2	100	98	0	2
4942	3.19	3.19	94.9	94.9	100	5.1	0	6
4951	2.65	2.65	100	100	100	0	0	4
4954	0.81	1.02	1.6	2.1	79.1	77.5	20.9	2
4989	7.83	8.27	94.7	100	94.7	0	5.3	9
4992	1.28	1.31	30.2	30.8	98	67.8	2	4
