qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_2_length_1378_cov_12.541167	98.45	129	1	1	662	54	182	1378	2	129	4.99e-61	226	129	4471_NODE_2_length_1378_cov_12.541167
4471	NODE_2_length_1378_cov_12.541167	99.074	108	1	0	662	269	376	1378	561	668	1.41e-51	195	108	4471_NODE_2_length_1378_cov_12.541167
4471	NODE_2_length_1378_cov_12.541167	99.01	101	1	0	662	457	557	1378	1227	1327	1.1e-47	182	101	4471_NODE_2_length_1378_cov_12.541167
4471	NODE_2_length_1378_cov_12.541167	97.917	96	2	0	662	174	269	1378	369	464	3.07e-43	167	96	4471_NODE_2_length_1378_cov_12.541167
4471	NODE_2_length_1378_cov_12.541167	96.703	91	3	0	662	369	459	1378	785	875	8.59e-39	152	91	4471_NODE_2_length_1378_cov_12.541167
4471	NODE_1_length_2772_cov_22.066541	99.194	124	1	0	662	54	177	2772	664	787	1.79e-60	224	124	4471_NODE_1_length_2772_cov_22.066541
4471	NODE_1_length_2772_cov_22.066541	97.273	110	2	1	662	554	662	2772	2202	2311	8.47e-49	185	110	4471_NODE_1_length_2772_cov_22.066541
4471	NODE_1_length_2772_cov_22.066541	100	108	0	0	662	269	376	2772	1195	1302	3.02e-53	200	108	4471_NODE_1_length_2772_cov_22.066541
4471	NODE_1_length_2772_cov_22.066541	99.01	101	1	0	662	457	557	2772	1862	1962	1.1e-47	182	101	4471_NODE_1_length_2772_cov_22.066541
4471	NODE_1_length_2772_cov_22.066541	98.98	98	1	0	662	174	271	2772	1003	1100	5.09e-46	176	98	4471_NODE_1_length_2772_cov_22.066541
4471	NODE_1_length_2772_cov_22.066541	95.604	91	4	0	662	369	459	2772	1419	1509	3.99e-37	147	91	4471_NODE_1_length_2772_cov_22.066541
4471	NODE_1_length_2772_cov_22.066541	100	55	0	0	662	1	55	2772	252	306	8.77e-24	102	55	4471_NODE_1_length_2772_cov_22.066541
4471	NODE_3_length_537_cov_10.585366	98.925	93	1	0	662	54	146	537	445	537	3.07e-43	167	93	4471_NODE_3_length_537_cov_10.585366
4471	NODE_3_length_537_cov_10.585366	100	55	0	0	662	1	55	537	16	70	8.77e-24	102	55	4471_NODE_3_length_537_cov_10.585366
4527	NODE_1_length_1682_cov_55.655949	98.131	535	10	0	861	269	803	1682	1258	724	0	933	535	4527_NODE_1_length_1682_cov_55.655949
4527	NODE_1_length_1682_cov_55.655949	98.333	60	1	0	861	802	861	1682	497	438	8.87e-25	106	60	4527_NODE_1_length_1682_cov_55.655949
4527	NODE_2_length_1301_cov_51.372232	95.14	535	26	0	861	269	803	1301	955	421	0	845	535	4527_NODE_2_length_1301_cov_51.372232
4527	NODE_4_length_999_cov_8.466743	97.436	273	7	0	861	1	273	999	603	331	3.53e-133	466	273	4527_NODE_4_length_999_cov_8.466743
4527	NODE_3_length_1024_cov_11.612040	95.238	273	13	0	861	1	273	1024	688	416	3.58e-123	433	273	4527_NODE_3_length_1024_cov_11.612040
