qseqid,mean_paralog_percent_ignoreMissing,mean_missing_percent,mean_paralogy_index,mean_paralogy_index_ignoreMissing,diagnosis
4744,0.4,16.6,0.84,1,Single
4932,1.9,1.3,1.01,1.02,Single
4757,3.4,1.9,1.01,1.03,Single
4954,4.9,14.9,0.89,1.05,Single
4471,8.7,6,1.04,1.11,Single
4796,17.6,8,1.09,1.18,Single
4992,25.4,2.8,1.38,1.42,Single
4890,42.5,25,1.27,1.66,Single
4889,46.2,16.5,1.26,1.49,Single
4802,60.5,10.5,1.55,1.72,Paralog
4806,67.6,11.2,1.54,1.72,Paralog
4893,71.7,10.3,1.81,2,Paralog
4848,72.2,1.8,1.86,1.89,Paralog
4942,77.6,6.8,1.96,2.08,Paralog
4793,87.8,20.4,1.61,2.03,Paralog
4691,91.5,2.1,1.93,1.95,Paralog
4527,92.5,0.3,2.58,2.58,Paralog
4724,95.6,0.9,2.71,2.73,Paralog
4951,95.9,0,2.27,2.27,Paralog
4989,96.2,5.3,9.78,10.32,Paralog
