qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	1.04	1.04	4.4	4.4	100	95.6	0	1
4527	2.26	2.26	93.3	93.3	100	6.7	0	5
4691	2.15	2.15	100	100	100	0	0	5
4724	2.01	2.01	100	100	100	0	0	2
4744	0.85	1	0	0	85.4	85.4	14.6	2
4757	1	1	0	0	100	100	0	3
4793	1.82	2.53	71.9	99.6	72.2	0.3	27.8	6
4796	0.9	1.02	1.8	2.1	88.1	86.3	11.9	2
4802	1.7	1.91	78.1	87.9	88.8	10.7	11.2	3
4806	1.57	1.83	57.3	66.6	86	28.7	14	4
4848	2	2.01	99.2	100	99.2	0	0.8	2
4889	1.62	1.89	75.8	88.1	86	10.2	14	2
4890	1.07	1.3	24.3	29.6	82.3	57.9	17.7	3
4893	2.37	2.43	77.7	79.6	97.6	19.9	2.4	3
4932	1.02	1.02	1.9	1.9	100	98.1	0	2
4942	1.76	1.92	81.2	88.6	91.6	10.5	8.4	3
4951	2	2	99.5	99.5	100	0.5	0	2
4954	1.07	1.22	17.7	20.1	87.8	70.1	12.2	4
4989	10.18	10.75	94.7	100	94.7	0	5.3	11
4992	2.34	2.39	78.1	79.8	97.9	19.7	2.1	7
