qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2675_cov_46.172684	99.225	129	0	1	662	54	182	2675	667	794	9.06e-63	231	129	4471_NODE_1_length_2675_cov_46.172684
4471	NODE_1_length_2675_cov_46.172684	98.198	111	2	0	662	266	376	2675	1223	1333	1.19e-51	195	111	4471_NODE_1_length_2675_cov_46.172684
4471	NODE_1_length_2675_cov_46.172684	98.182	110	1	1	662	554	662	2675	2226	2335	1.54e-50	191	110	4471_NODE_1_length_2675_cov_46.172684
4471	NODE_1_length_2675_cov_46.172684	98.02	101	2	0	662	457	557	2675	1886	1986	4.3e-46	176	101	4471_NODE_1_length_2675_cov_46.172684
4471	NODE_1_length_2675_cov_46.172684	98.98	98	1	0	662	174	271	2675	1034	1131	4.3e-46	176	98	4471_NODE_1_length_2675_cov_46.172684
4471	NODE_1_length_2675_cov_46.172684	96.703	91	3	0	662	369	459	2675	1450	1540	7.25e-39	152	91	4471_NODE_1_length_2675_cov_46.172684
4471	NODE_1_length_2675_cov_46.172684	100	55	0	0	662	1	55	2675	250	304	7.41e-24	102	55	4471_NODE_1_length_2675_cov_46.172684
4527	NODE_1_length_2164_cov_56.234168	97.944	535	11	0	861	269	803	2164	999	1533	0	928	535	4527_NODE_1_length_2164_cov_56.234168
4527	NODE_1_length_2164_cov_56.234168	96.703	273	9	0	861	1	273	2164	360	632	6.46e-130	455	273	4527_NODE_1_length_2164_cov_56.234168
4527	NODE_1_length_2164_cov_56.234168	98.333	60	1	0	861	802	861	2164	1710	1769	7.5e-25	106	60	4527_NODE_1_length_2164_cov_56.234168
4527	NODE_2_length_1468_cov_57.120060	94.953	535	27	0	861	269	803	1468	348	882	0	839	535	4527_NODE_2_length_1468_cov_57.120060
4527	NODE_4_length_602_cov_1.591579	97.723	483	11	0	861	269	751	602	483	1	0	832	483	4527_NODE_4_length_602_cov_1.591579
4527	NODE_3_length_939_cov_10.543103	96.337	273	10	0	861	1	273	939	629	357	3.01e-128	449	273	4527_NODE_3_length_939_cov_10.543103
4691	NODE_1_length_1043_cov_25.612445	97.59	249	6	0	537	74	322	1043	255	503	8.7e-122	427	249	4691_NODE_1_length_1043_cov_25.612445
4691	NODE_1_length_1043_cov_25.612445	99.07	215	2	0	537	323	537	1043	599	813	1.48e-109	387	215	4691_NODE_1_length_1043_cov_25.612445
4691	NODE_2_length_967_cov_25.279762	96.8	250	8	0	537	73	322	967	647	398	5.23e-119	418	250	4691_NODE_2_length_967_cov_25.279762
4691	NODE_2_length_967_cov_25.279762	93.981	216	13	0	537	322	537	967	318	103	9.07e-92	327	216	4691_NODE_2_length_967_cov_25.279762
4691	NODE_3_length_714_cov_3.628620	95.89	73	3	0	537	3	75	714	388	316	5.94e-29	119	73	4691_NODE_3_length_714_cov_3.628620
4724	NODE_1_length_1820_cov_27.482575	99.18	244	2	0	660	1	244	1820	1419	1176	1.38e-125	440	244	4724_NODE_1_length_1820_cov_27.482575
4724	NODE_1_length_1820_cov_27.482575	97.368	190	5	0	660	471	660	1820	532	343	1.45e-90	324	190	4724_NODE_1_length_1820_cov_27.482575
4724	NODE_1_length_1820_cov_27.482575	92.258	155	10	2	660	324	476	1820	910	756	7.03e-59	219	155	4724_NODE_1_length_1820_cov_27.482575
4724	NODE_1_length_1820_cov_27.482575	97.468	79	2	0	660	245	323	1820	1101	1023	7.28e-34	135	79	4724_NODE_1_length_1820_cov_27.482575
