qseqid	sseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent
4471	NODE_1_length_2766_cov_40.730580	0.95	1.04	3.3	3.6	92	88.7	8
4527	NODE_1_length_2762_cov_32.892979	1.01	1.01	0.9	0.9	100	99.1	0
4527	NODE_2_length_2586_cov_19.098821	0.94	1.01	0.6	0.6	93.3	92.7	6.7
4527	NODE_3_length_949_cov_26.131387	0.62	1	0	0	62.1	62.1	37.9
4691	NODE_4_length_622_cov_3.711111	0.14	1	0	0	14	14	86
4691	NODE_3_length_899_cov_5.544041	0.14	1	0	0	14	14	86
4691	NODE_1_length_1187_cov_10.811321	0.63	1	0.2	0.3	63.1	62.9	36.9
4691	NODE_2_length_969_cov_21.247031	0.86	1	0	0	86.4	86.4	13.6
4724	NODE_1_length_1871_cov_28.805619	1	1	0	0	100	100	0
4724	NODE_2_length_1854_cov_23.226404	1.01	1.01	0.9	0.9	100	99.1	0
4744	NODE_2_length_923_cov_3.768844	0.53	1	0	0	53.1	53.1	46.9
4744	NODE_1_length_1058_cov_29.207304	0.34	1	0	0	33.6	33.6	66.4
4757	NODE_3_length_859_cov_10.693989	0.29	1	0	0	29	29	71
4757	NODE_2_length_973_cov_18.330969	0.32	1	0	0	31.8	31.8	68.2
4757	NODE_1_length_1236_cov_26.004509	0.39	1	0	0	39.2	39.2	60.8
4793	NODE_3_length_1204_cov_22.194986	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_4_length_1068_cov_23.347503	0.13	1	0	0	13.5	13.5	86.5
4793	NODE_1_length_1678_cov_37.674404	0.64	1	0	0	64.5	64.5	35.5
4793	NODE_2_length_1479_cov_37.081361	0.59	1.01	0.3	0.5	58.8	58.5	41.2
4796	NODE_1_length_1916_cov_35.861934	0.75	1.02	1.8	2.5	73.2	71.4	26.8
4796	NODE_2_length_1557_cov_7.813986	0.26	1	0	0	25.6	25.6	74.4
4796	NODE_3_length_700_cov_5.111693	0.17	1	0	0	16.9	16.9	83.1
4802	NODE_1_length_2260_cov_29.397562	0.58	1.01	0.8	1.3	57.7	56.9	42.3
4802	NODE_2_length_2045_cov_18.206986	0.42	1.02	0.6	1.5	41.5	40.8	58.5
4802	NODE_3_length_1486_cov_20.869021	0.31	1.02	0.5	1.7	30.9	30.4	69.1
4806	NODE_1_length_1705_cov_5.430925	0.87	1.01	0.5	0.6	86	85.5	14
4806	NODE_3_length_807_cov_3.350000	0.42	1	0	0	41.8	41.8	58.2
4806	NODE_2_length_1481_cov_10.043575	0.25	1	0	0	25.1	25.1	74.9
4848	NODE_1_length_2452_cov_13.931613	1	1.01	0.6	0.6	99.4	98.7	0.6
4848	NODE_3_length_488_cov_1.257618	0.26	1	0	0	25.6	25.6	74.4
4848	NODE_2_length_1706_cov_11.580747	0.55	1	0	0	55.2	55.2	44.8
4889	NODE_1_length_1702_cov_10.067302	0.87	1.01	0.7	0.8	86	85.3	14
4889	NODE_2_length_1670_cov_8.950097	0.49	1	0	0	49	49	51
4890	NODE_1_length_1358_cov_11.759545	0.31	1.02	0.5	1.7	31	30.4	69
4890	NODE_2_length_1105_cov_18.490798	0.63	1.07	4.2	7.1	58.4	54.3	41.6
4893	NODE_1_length_1755_cov_22.371007	0.75	1.03	2.3	3.1	72.6	70.4	27.4
4893	NODE_2_length_1644_cov_14.414634	0.61	1.03	2	3.3	59.5	57.5	40.5
4932	NODE_1_length_1905_cov_41.595613	0.87	1.01	0.8	0.9	85.8	85	14.2
4932	NODE_2_length_1038_cov_12.883644	0.16	1.03	0.4	2.6	15.3	14.9	84.7
4942	NODE_1_length_2562_cov_10.248049	0.7	1.01	0.7	1	69.7	69	30.3
4942	NODE_3_length_905_cov_2.793059	0.1	1	0	0	10.3	10.3	89.7
4942	NODE_2_length_1904_cov_20.278559	0.77	1.01	0.9	1.1	76	75.1	24
4951	NODE_2_length_1391_cov_11.992089	1	1	0	0	100	100	0
4951	NODE_1_length_1489_cov_12.118209	0.96	1	0	0	96.4	96.4	3.6
4951	NODE_3_length_680_cov_15.978300	0.71	1	0	0	71.2	71.2	28.8
4954	NODE_1_length_1365_cov_35.394992	0.56	1	0.2	0.4	55.9	55.7	44.1
4954	NODE_2_length_1243_cov_22.946237	0.24	1.02	0.4	1.9	23.7	23.3	76.3
4989	NODE_2_length_1351_cov_26.402778	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_6_length_1213_cov_15.960405	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_5_length_1273_cov_28.563700	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_8_length_1193_cov_11.228893	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_4_length_1328_cov_27.604496	0.95	1.01	0.6	0.7	94.7	94.1	5.3
4989	NODE_7_length_1193_cov_13.984991	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_13_length_580_cov_1.090508	0.94	1	0.3	0.3	93.8	93.5	6.2
4989	NODE_3_length_1334_cov_18.792875	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_10_length_989_cov_30.771462	0.95	1	0.3	0.3	94.7	94.4	5.3
4989	NODE_1_length_1376_cov_10.063251	0.8	1	0.3	0.4	80.1	79.8	19.9
4989	NODE_9_length_1119_cov_10.840726	0.64	1	0	0	63.6	63.6	36.4
4989	NODE_11_length_798_cov_12.347243	0.22	1	0	0	22.4	22.4	77.6
4989	NODE_14_length_410_cov_1.816254	0.28	1	0	0	28	28	72
4992	NODE_1_length_4446_cov_23.955545	0.98	1.01	0.5	0.5	98	97.4	2
4992	NODE_4_length_550_cov_1.260047	0.11	1	0	0	11.1	11.1	88.9
4992	NODE_2_length_1362_cov_5.692308	0.08	1	0	0	7.6	7.6	92.4
