qseqid	sseqid	pident	length	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	length.nuc	pair
4471	NODE_1_length_2808_cov_37.938829	98.45	129	1	1	662	54	182	2808	2046	1919	4.45e-61	226	129	4471_NODE_1_length_2808_cov_37.938829
4471	NODE_1_length_2808_cov_37.938829	99.091	110	0	1	662	554	662	2808	512	403	3.49e-52	196	110	4471_NODE_1_length_2808_cov_37.938829
4471	NODE_1_length_2808_cov_37.938829	100	108	0	0	662	269	376	2808	1487	1380	2.7e-53	200	108	4471_NODE_1_length_2808_cov_37.938829
4471	NODE_1_length_2808_cov_37.938829	100	101	0	0	662	457	557	2808	852	752	2.1e-49	187	101	4471_NODE_1_length_2808_cov_37.938829
4471	NODE_1_length_2808_cov_37.938829	98.98	98	1	0	662	174	271	2808	1679	1582	4.54e-46	176	98	4471_NODE_1_length_2808_cov_37.938829
4471	NODE_1_length_2808_cov_37.938829	96.703	91	3	0	662	369	459	2808	1263	1173	7.66e-39	152	91	4471_NODE_1_length_2808_cov_37.938829
4471	NODE_1_length_2808_cov_37.938829	100	55	0	0	662	1	55	2808	2465	2411	7.82e-24	102	55	4471_NODE_1_length_2808_cov_37.938829
4471	NODE_2_length_634_cov_28.331361	100	103	0	0	662	274	376	634	634	532	1.62e-50	191	103	4471_NODE_2_length_634_cov_28.331361
4471	NODE_2_length_634_cov_28.331361	95.604	91	4	0	662	369	459	634	415	325	3.56e-37	147	91	4471_NODE_2_length_634_cov_28.331361
4527	NODE_2_length_1779_cov_38.614407	97.944	535	11	0	861	269	803	1779	485	1019	0	928	535	4527_NODE_2_length_1779_cov_38.614407
4527	NODE_3_length_1416_cov_35.588829	97.57	535	13	0	861	269	803	1416	1097	563	0	917	535	4527_NODE_3_length_1416_cov_35.588829
4527	NODE_3_length_1416_cov_35.588829	100	60	0	0	861	802	861	1416	389	330	1.7e-26	111	60	4527_NODE_3_length_1416_cov_35.588829
4527	NODE_1_length_2572_cov_21.868303	95.701	535	23	0	861	269	803	2572	989	455	0	861	535	4527_NODE_1_length_2572_cov_21.868303
4527	NODE_1_length_2572_cov_21.868303	95.604	273	12	0	861	1	273	2572	2067	1795	6.87e-125	438	273	4527_NODE_1_length_2572_cov_21.868303
4527	NODE_5_length_825_cov_52.749284	93.883	376	23	0	861	428	803	825	1	376	8.4e-164	568	376	4527_NODE_5_length_825_cov_52.749284
4527	NODE_4_length_995_cov_6.217742	98.168	273	5	0	861	1	273	995	464	736	1.46e-136	477	273	4527_NODE_4_length_995_cov_6.217742
4691	NODE_1_length_2075_cov_17.973306	99.6	250	1	0	537	73	322	2075	760	511	1.17e-130	457	250	4691_NODE_1_length_2075_cov_17.973306
4691	NODE_1_length_2075_cov_17.973306	99.535	215	1	0	537	323	537	2075	410	196	3.35e-111	392	215	4691_NODE_1_length_2075_cov_17.973306
4691	NODE_1_length_2075_cov_17.973306	96	75	3	0	537	1	75	2075	1715	1641	4.85e-30	122	75	4691_NODE_1_length_2075_cov_17.973306
4691	NODE_2_length_1002_cov_28.062857	97.2	250	7	0	537	73	322	1002	779	530	1.19e-120	424	250	4691_NODE_2_length_1002_cov_28.062857
4691	NODE_2_length_1002_cov_28.062857	93.056	216	15	0	537	322	537	1002	450	235	2.07e-88	316	216	4691_NODE_2_length_1002_cov_28.062857
4691	NODE_3_length_667_cov_2.138889	98.667	75	1	0	537	1	75	667	414	340	2.24e-33	134	75	4691_NODE_3_length_667_cov_2.138889
4724	NODE_1_length_1764_cov_31.835064	99.59	244	1	0	660	1	244	1764	372	615	3.13e-127	446	244	4724_NODE_1_length_1764_cov_31.835064
4724	NODE_1_length_1764_cov_31.835064	97.895	190	4	0	660	471	660	1764	1294	1483	3.29e-92	329	190	4724_NODE_1_length_1764_cov_31.835064
4724	NODE_1_length_1764_cov_31.835064	100	147	0	0	660	324	470	1764	881	1027	5.62e-75	272	147	4724_NODE_1_length_1764_cov_31.835064
4724	NODE_1_length_1764_cov_31.835064	100	79	0	0	660	245	323	1764	690	768	3.55e-37	147	79	4724_NODE_1_length_1764_cov_31.835064
4724	NODE_5_length_806_cov_35.296024	95.902	244	10	0	660	1	244	806	200	443	3.19e-112	396	244	4724_NODE_5_length_806_cov_35.296024
4724	NODE_5_length_806_cov_35.296024	96.203	79	3	0	660	245	323	806	533	611	3.58e-32	130	79	4724_NODE_5_length_806_cov_35.296024
4724	NODE_4_length_1476_cov_19.747961	95.492	244	11	0	660	1	244	1476	315	558	1.49e-110	390	244	4724_NODE_4_length_1476_cov_19.747961
4724	NODE_4_length_1476_cov_19.747961	95.789	190	8	0	660	471	660	1476	1260	1449	1.54e-85	307	190	4724_NODE_4_length_1476_cov_19.747961
4724	NODE_4_length_1476_cov_19.747961	92.258	155	10	2	660	324	476	1476	840	994	7.42e-59	219	155	4724_NODE_4_length_1476_cov_19.747961
4724	NODE_4_length_1476_cov_19.747961	96.203	79	3	0	660	245	323	1476	654	732	3.58e-32	130	79	4724_NODE_4_length_1476_cov_19.747961
4724	NODE_3_length_1666_cov_42.383366	93.852	244	15	0	660	1	244	1666	1303	1060	6.96e-104	368	244	4724_NODE_3_length_1666_cov_42.383366
4724	NODE_3_length_1666_cov_42.383366	90.968	155	12	2	660	324	476	1666	782	628	1.61e-55	207	155	4724_NODE_3_length_1666_cov_42.383366
4724	NODE_3_length_1666_cov_42.383366	92.593	81	4	2	660	245	323	1666	973	893	1e-27	115	81	4724_NODE_3_length_1666_cov_42.383366
4724	NODE_2_length_1690_cov_13.409469	96.078	204	8	0	660	41	244	1690	407	610	2.54e-93	333	204	4724_NODE_2_length_1690_cov_13.409469
4724	NODE_2_length_1690_cov_13.409469	95.789	190	8	0	660	471	660	1690	1298	1487	1.54e-85	307	190	4724_NODE_2_length_1690_cov_13.409469
4724	NODE_2_length_1690_cov_13.409469	97.468	79	2	0	660	245	323	1690	697	775	7.69e-34	135	79	4724_NODE_2_length_1690_cov_13.409469
4724	NODE_7_length_586_cov_3.392157	95.263	190	9	0	660	471	660	586	159	348	7.16e-84	302	190	4724_NODE_7_length_586_cov_3.392157
4724	NODE_6_length_793_cov_14.690691	92.647	136	10	0	660	29	164	793	303	438	3.48e-52	196	136	4724_NODE_6_length_793_cov_14.690691
4724	NODE_6_length_793_cov_14.690691	96.203	79	3	0	660	245	323	793	550	628	3.58e-32	130	79	4724_NODE_6_length_793_cov_14.690691
