qseqid	paralogy_index	paralogy_index_ignoreMissing	paralog_percent	paralog_percent_ignoreMissing	full_percent	unique_percent	missing_percent	n_chroms
4471	0.65	1.02	1.1	1.7	64	63	36	1
4527	0.94	1.01	0.6	0.6	93.3	92.7	6.7	1
4691	0.46	1	0	0	46.4	46.4	53.6	1
4724	1.15	1.48	37	47.6	77.7	40.8	22.3	2
4744	0.34	1	0	0	33.6	33.6	66.4	1
4757	0.7	1	0	0	70.1	70.1	29.9	1
4793	0.87	1	0	0	86.7	86.7	13.3	2
4796	0.4	1	0	0	39.9	39.9	60.1	2
4802	0.64	1.32	15.4	31.6	48.9	33.4	51.1	2
4806	0.42	1.41	11.8	39.5	30	18.1	70	2
4848	0.8	1.01	0.8	1	79.2	78.4	20.8	1
4889	0.22	1	0	0	21.6	21.6	78.4	1
4890	0.39	1	0.2	0.5	38.6	38.4	61.4	1
4893	0.65	1.01	0.7	1	64	63.3	36	1
4932	0.66	1	0.3	0.5	66.1	65.8	33.9	1
4942	0.49	1.01	0.7	1.4	48.1	47.4	51.9	1
4951	1.37	1.37	36.7	36.7	100	63.3	0	4
4954	0.73	1.01	0.7	0.9	72.3	71.7	27.7	2
4989	0.95	1	0.3	0.3	94.7	94.4	5.3	1
4992	0.77	1	0.1	0.2	77.2	77.1	22.8	1
